"#NAME"	"LOG_RAT2N_MEAN (0h)"	"LOG_RAT2N_MEAN (9.5h)"	"LOG_RAT2N_MEAN (11.5h)"	"LOG_RAT2N_MEAN (13.5h)"	"LOG_RAT2N_MEAN (15.5h)"	"LOG_RAT2N_MEAN(18.5h)"	"LOG_RAT2N_MEAN (20.5h)"
"YCRX06W"	-0.118	0.522	0.068	0.152	-0.223	-0.174	0.13
"YHR042W"	0.214	0.215	0.255	-0.043	-0.198	0.029	0.13
"YAR053W"	-0.366	-0.401	-0.239	0.05	0.113	-0.104	0.13
"YBR100W"	-0.121	-0.557	-0.199	-0.135	-0.138	0.341	0.13
"YGR041W"	0.033	-0.009	0.052	-0.174	-0.727	0.115	0.13
"YEL068C"	0.032	-0.153	-0.293	-0.096	0.046	0.289	0.129
"YOR174W"	-0.053	-0.064	-0.219	-0.127	-0.031	-0.266	0.129
"YDL119C"	-0.019	-0.027	-0.527	0.026	-0.382	-0.151	0.129
"NORF 80"	0.029	0.08	-0.03	0.016	-0.096	-0.112	0.129
"YPL023C"	0.141	0.043	-0.318	-0.605	-0.275	-0.628	0.129
"GENOMIC 1X"	0.202	0.235	-0.026	0.14	0.058	-0.116	0.128
"NORF 45"	-0.506	0.001	-0.367	0.047	-0.006	-0.004	0.128
"YBR166C"	0.318	0.36	0.116	0.066	-0.346	0.2	0.128
"YLR321C"	0.006	0.079	0.383	0.019	0.385	0.519	0.127
"YOR268C"	-0.397	-0.132	-0.502	-0.233	-0.154	0.445	0.127
"YGL040C"	0.141	0.074	0.179	0.205	0.382	0.09	0.127
"YNL211C"	-0.051	-0.117	-0.101	-0.029	-0.186	0.243	0.127
"YOL144W"	-0.161	-0.458	0.237	0.113	0.384	0	0.126
"YPR138C"	0.228	-0.048	-0.065	-0.169	-0.016	-0.337	0.126
"YNL031C"	0.191	0.111	-0.059	0.215	0.314	0.898	0.126
"YOR119C"	0.3	0.39	0.421	-0.497	-0.156	0.279	0.126
"YBL062W"	0.09	0.096	0.194	-0.268	0.127	0.241	0.126
"NORF 65"	-0.162	-0.009	-0.105	0.058	0.094	-0.53	0.125
"YBR300C"	-0.2	-0.166	-0.22	-0.453	-0.229	-0.382	0.125
"GENOMIC 0.5X"	0.231	0.218	0.044	0.028	0.252	-0.357	0.125
"YJL101C"	0.166	0.579	-0.208	-0.53	-0.271	0.226	0.124
"E. COLI #33"	0.02	0.803	-0.145	-0.089	-0.725	-0.184	0.123
"YER005W"	-0.308	0.144	0.235	0.021	-0.454	0.548	0.123
"YHR079BC"	-0.006	0.031	-0.115	0.011	-0.369	-0.107	0.123
"YOR323C"	0.257	0.451	0.561	0.26	0.492	0.693	0.123
"YDR121W"	0.168	0.051	0.22	-0.252	-0.466	0.184	0.122
"YCL057W"	0.515	0.272	0.112	-0.163	-0.316	0.028	0.122
"YDL187C"	-0.856	-0.437	-0.254	-0.104	-0.325	0.374	0.122
"YNL272C"	0.197	0.107	0.15	0.24	0.131	0.087	0.122
"YCR044C"	-0.142	0.009	0.742	0.29	-0.157	0.84	0.122
"YDR334W"	0.023	0.273	-0.41	-0.011	-0.261	0.716	0.122
"YML088W"	0.51	0.386	0.24	0.1	0.142	0.138	0.121
"YDL120W"	0.121	-0.05	-0.18	0.041	-0.604	-0.32	0.121
"YIR008C"	-0.083	-0.104	0.053	-0.187	-0.081	0.896	0.121
"YHR207C"	-0.039	0.119	0.174	0.023	0.232	0.454	0.121
"YGR211W"	0.148	-0.098	0.143	-0.445	-0.493	0.349	0.12
"YDR147W"	0.011	-0.048	0.388	0.133	-0.25	-0.15	0.12
"YAL011W"	0.022	0.219	-0.193	-0.521	-0.386	-0.383	0.12
"NORF 48"	-0.312	-0.183	-0.417	-0.227	-0.488	-0.554	0.119
"YML109W"	0.209	-0.004	-0.008	-0.168	0.138	-0.452	0.119
"YKL183W"	-0.189	-0.065	0.076	-0.434	-0.069	-0.064	0.119
"YOR265W"	0.036	-0.105	0.11	0.079	0.38	0.201	0.119
"YLR363C"	0.461	0.447	0.091	-0.061	-0.236	0.478	0.119
"YBR091C"	-0.338	0.383	-0.417	-0.348	-0.252	-0.157	0.119
"E. COLI #36"	-0.416	0.736	-0.291	-0.098	-0.661	0.077	0.119
"YPL066W"	0.034	-0.266	-0.34	-0.394	-0.57	0.137	0.119
"YOR112W"	-0.034	0	-0.066	0.021	0.015	0.602	0.119
"YGR218W"	0.306	0.462	-0.138	-0.389	-0.266	-0.566	0.119
"YHR006W"	-0.039	0.196	-0.054	-0.206	-0.259	-0.178	0.118
"YDR470C"	0.044	-0.218	-0.032	-0.278	0.014	0.525	0.118
"YGL041C"	0.246	0.071	0.317	0.128	-0.307	0.166	0.118
"YCR017C"	0.147	0.748	0.112	0.258	-0.038	-0.1	0.118
"YJR023C"	-0.215	-0.129	-0.158	-0.097	0.66	-0.137	0.117
"NORF 75"	0.196	0.059	0.237	0.132	0.073	0.234	0.117
"YMR036C"	-0.158	-0.276	-0.621	-0.346	-0.212	0.139	0.116
"YDR249C"	-0.014	0.332	0.307	0.123	-0.313	-0.025	0.116
"YGR254W"	0.038	0.274	-0.034	0.148	-0.001	0.255	0.116
"YPL001W"	0.108	0.025	0.317	-0.108	0.15	0.105	0.116
"YJR137C"	-0.02	0.077	-0.476	-0.388	-0.412	-0.132	0.116
"YPL194W"	0.065	-0.177	0.184	-0.049	-0.18	0.303	0.116
"YCR001W"	-0.207	-0.53	-0.259	-0.009	-0.314	0.026	0.116
"YMR092C"	0.118	0.191	-0.188	-0.107	0.197	0.759	0.116
"YER078C"	-0.196	-0.352	-0.172	-0.279	-0.383	0.386	0.115
"YJL184W"	-0.081	-2.169	-0.012	0.016	-0.077	0.606	0.115
"YOR143C"	0.086	0.165	0.426	0.015	0.148	0.594	0.115
"YNL267W"	0.078	0.332	0.165	0.3	0.49	0.453	0.115
"YDR281C"	0.082	0.092	0.165	-0.243	0.068	0.246	0.115
"YDR198C"	-0.519	-0.539	-0.02	-0.404	-0.682	0.775	0.115
"YCLX03C"	-0.167	-0.611	-0.438	-0.258	-0.223	0.273	0.115
"YGR269W"	-0.445	-0.288	-0.486	-0.554	-0.216	-0.17	0.114
"YLR315W"	-0.012	0.015	0.404	0.242	-0.544	0.236	0.114
"YKR083C"	0.155	0.224	0.477	0.056	0.227	0.433	0.114
"YKL203C"	-0.028	0.085	-0.237	-0.194	0.044	0.024	0.114
"YML096W"	0.39	0.124	-0.047	0.079	-0.107	0.263	0.114
"YOR158W"	-0.067	-0.172	-0.153	0.042	0.533	0.659	0.113
"YDL225W"	0.264	0.218	0.445	0.129	0.293	0.246	0.113
"YHR077C"	0.181	0.368	0.047	0.067	-0.009	-0.344	0.113
"YBR268W"	0.035	0.123	0.115	0.304	0.493	0.39	0.112
"YOL140W"	0.164	-0.144	-0.138	-0.446	-0.573	0.189	0.112
"YBR110W"	-0.089	0.072	0.54	0.015	-0.102	0.412	0.112
"YDR490C"	0.03	-0.059	-0.15	0.127	0.163	-0.18	0.112
"YGR131W"	-0.201	-0.537	-0.068	0.207	-0.222	0.439	0.112
"YDR301W"	0.01	0.111	-0.188	-0.114	-0.202	0.522	0.111
"YFL034C-B"	-0.251	-0.673	0.153	-0.272	-0.373	0.607	0.111
"YBR075W"	0.502	0.172	0.787	0.417	-0.071	-0.204	0.111
"YML099C"	0.137	0.206	-0.178	-0.264	-0.171	0.184	0.111
"YMR266W"	-0.148	0.082	-0.278	-0.338	-0.303	-0.982	0.111
"YGR140W"	0.095	-0.136	-0.058	0.079	-0.215	-0.564	0.111
"YKL055C"	-0.381	-0.311	-0.183	-0.345	-0.266	0.102	0.111
"YHR175W"	0.275	0.132	0.301	0.104	0.419	0.043	0.11
"YJL207C"	-0.151	0.294	-0.213	-0.068	-0.442	-0.164	0.11
"YMR316W"	-0.123	-0.353	0.821	0.774	0.523	0.663	0.11
"YGL174W"	-0.611	-0.634	0.132	0.096	-0.24	0.836	0.11
"YPL205C"	0.457	0.408	0.064	0.05	-0.143	-0.083	0.11
"YER007W"	-0.584	-0.427	0.328	-0.22	-0.229	0.909	0.11
"YOL123W"	0.477	0.36	0.237	0.082	-0.206	-0.344	0.109
"YIL025C"	-0.392	-0.755	-0.822	-0.505	-0.347	0.386	0.109
"YNL326C"	0.022	-0.148	-0.156	-0.188	-0.299	0.153	0.109
"YPR004C"	-0.095	0.05	0.152	0.353	0.485	-0.104	0.108
"YPR122W"	-0.014	0.311	-0.285	-0.054	-0.2	-0.366	0.108
"YJR160C"	0.146	0.196	-0.122	0.012	0.052	-0.232	0.108
"YFL050C"	-0.237	-0.4	-0.173	-0.506	-0.657	0.013	0.108
"YDR266C"	-0.069	0.246	0.333	-0.179	0.099	0.646	0.107
"YOR349W"	-0.19	0.005	0.038	-0.288	-0.059	-0.148	0.107
"YIL068C"	0.218	0.18	-0.058	-0.065	-0.056	-0.324	0.107
"YKR054C"	0.117	0.162	0.055	0.017	-0.154	-0.296	0.106
"YIR005W"	-0.605	-0.582	-0.211	0.049	-0.227	0.517	0.106
"YDR054C"	-0.176	-0.196	-0.342	-0.334	0.202	0.674	0.105
"YBR265W"	0.035	-0.069	0.156	-0.07	-0.491	-0.146	0.105
"YPL233W"	-0.039	0.105	-0.056	0.134	-0.157	-0.276	0.105
"YER100W"	0.157	-0.12	-0.032	-0.05	-0.209	0.412	0.105
"YLL048C"	0.165	0.204	0.013	0.15	0.058	0.004	0.105
"YJL213W"	0.168	0.193	0.073	0.128	-0.097	0.045	0.105
"YNL161W"	0.155	0.05	-0.068	0.067	-0.213	0.475	0.105
"YLR209C"	0.097	0.241	0.295	-0.033	0.085	0.023	0.105
"YKL176C"	0.169	0.311	0.303	0.023	-0.252	-0.089	0.105
"YKR065C"	0.108	0.041	0.085	0.274	0.562	0.39	0.104
"YLR037C"	0.083	0.203	0.123	0.221	0.086	0.01	0.104
"YPL128C"	-0.273	-0.035	0.222	-0.21	-0.504	0.361	0.104
"NORF 35"	0.118	0.189	0.123	0.122	-0.093	-0.665	0.104
"YKL031W"	-0.298	-0.416	-0.112	-0.103	-0.201	0.151	0.103
"YOL070C"	-0.104	0.376	0.465	0.002	-0.13	0.475	0.103
"NORF 74"	0.038	0.212	-0.105	0.064	-0.009	-0.245	0.103
"YKR071C"	0.197	0.09	0.092	-0.196	-0.01	0.209	0.103
"YNL275W"	0.065	0.569	0.05	-0.074	-0.3	0.486	0.103
"YER187W"	-0.306	0.392	-0.049	-0.158	-0.152	0.331	0.102
"YLR147C"	-0.01	-0.113	-0.166	0.049	0.043	0.278	0.102
"YBR114W"	-0.689	-0.028	0.132	-0.258	-1.18	0.59	0.101
"YGR294W"	0.2	0.247	0.067	0.32	0.255	0.183	0.101
"YKR029C"	-0.006	-0.318	0.128	0.071	-0.076	0.428	0.1
"YPR072W"	-0.021	0.191	0.492	0.176	0.335	0.298	0.099
"YDR271C"	-0.063	-0.098	-0.608	-0.223	-0.05	0.19	0.099
"YDL104C"	0.024	0.979	-0.148	0.227	0.02	-0.053	0.099
"YBR069C"	0.386	0.246	0.301	-0.564	-0.815	-1.607	0.098
"YKR041W"	-0.48	-0.475	0.541	-0.341	-0.19	0.752	0.098
"YJR015W"	0.195	0.205	0.52	0.414	-0.053	0.44	0.098
"YPL172C"	0.027	0.009	-0.051	-0.106	-0.216	0.366	0.097
"YDL133W"	-0.018	0.526	-0.452	-0.065	-0.272	-0.107	0.097
"YKL025C"	0.103	0.235	-0.335	-0.207	-0.317	0.33	0.097
"YML082W"	0.018	0.244	0.53	-0.006	0.11	-0.406	0.097
"YBR029C"	0.222	0.578	0.23	0.176	-0.176	-0.165	0.097
"YOR211C"	-0.417	-0.116	-0.321	-0.234	-0.107	-0.174	0.097
"YDL077C"	0.132	0.835	0.053	-0.094	-0.139	-0.224	0.097
"YPR035W"	-0.153	0.32	-0.137	0.075	0.723	-1.126	0.096
"YPR203W"	0.108	0.115	-0.194	0.021	-0.15	-0.577	0.096
"YIL173W"	0.033	0.113	-0.348	0.152	0.079	-0.231	0.095
"YER176W"	-0.022	0.104	-0.14	-0.334	0.051	-0.454	0.095
"YGL065C"	0.149	0.414	0.206	-0.238	-0.101	0.133	0.095
"GENOMIC 0.25X"	0.132	0.09	-0.217	-0.117	0.25	-0.021	0.095
"YLR106C"	0.086	0.224	-0.07	0.063	0.123	-0.09	0.094
"YLR404W"	-0.031	-0.264	0.248	0.139	0.417	0.687	0.094
"YBR206W"	0.206	0.199	0.309	0.205	0.439	0.066	0.094
"YKL209C"	0.186	0.261	0.072	0.263	-0.072	-0.374	0.094
"YDR438W"	-0.131	-0.106	0.018	-0.01	0.044	-0.433	0.093
"YPR015C"	-0.322	-0.26	-0.35	-0.229	-0.256	0.289	0.093
"YAR020C"	-0.082	0.818	-0.085	0.148	0.082	-0.166	0.093
"YDR443C"	-0.054	0.146	-0.299	-0.082	-0.398	-0.148	0.093
"YAR029W"	-0.47	0.244	-0.399	0.137	-0.311	0.343	0.091
"YJL179W"	-0.036	0.04	0.121	0.047	0.031	0.241	0.091
"YOR336W"	0.057	-0.067	-0.295	0.098	-0.091	-0.375	0.091
"YBR061C"	0	-0.273	0.285	-0.349	-0.313	0.403	0.091
"YOR222W"	-0.045	-0.445	0.327	0.226	-0.151	-0.251	0.091
"YLR119W"	-0.24	-0.15	-0.299	-0.018	-0.14	0.23	0.09
"YBR198C"	0.331	0.275	-0.001	-0.061	0.045	0.205	0.089
"YHR048W"	-0.057	-0.068	-0.212	0.071	-0.338	-0.347	0.089
"YLR232W"	0.091	0.175	0.304	0.634	0.724	0.187	0.089
"YJL054W"	-0.092	-0.156	-0.155	-0.031	0.46	0.319	0.089
"YNL003C"	-0.02	0.019	-0.075	0.37	0.361	0.379	0.088
"YER038C"	-0.066	0.337	0.393	-0.028	-0.628	0.542	0.088
"YBR058C"	-0.313	-0.415	0.322	-0.106	0.04	0.311	0.088
"YHR210C"	-0.115	-0.366	-0.317	0.036	0.331	0.472	0.087
"YIR025W"	-0.728	-0.635	-0.234	-0.333	-0.638	0.405	0.087
"YDR016C"	-0.113	-0.011	0.081	0.1	0.354	0.7	0.087
"YDR071C"	0.372	0.292	0.486	0.506	0.246	1.066	0.087
"YGL227W"	-0.027	-0.068	0.05	0.162	0.183	0.244	0.087
"YGL024W"	-0.057	-0.099	-0.233	0.004	-0.306	-0.001	0.087
"YKL069W"	0.042	-0.356	0.107	0.372	0.617	0.56	0.087
"YHR100C"	0.241	0.026	0.176	-0.199	-0.46	-0.147	0.086
"YIL158W"	-0.252	-0.159	0.339	0.073	0.265	0.386	0.086
"YDR038C"	0.113	0.01	-0.007	-0.502	-0.665	-1.065	0.085
"YDR087C"	0.139	0.019	0.504	-0.559	-0.913	0.591	0.085
"YOR246C"	-0.061	-0.079	0.401	0.143	0.767	0.73	0.085
"YOR173W"	0.033	0.197	-0.112	0.002	-0.144	-0.133	0.084
"YMR314W"	0.197	-0.019	-0.103	0.454	0.176	1.016	0.084
"YOR338W"	-0.18	-0.284	-0.139	-0.421	-0.635	0.584	0.084
"YGR014W"	0.102	0.091	0.019	-0.121	-0.063	-1.038	0.084
"YNL257C"	-0.154	-0.148	-0.139	0.268	0.358	0.173	0.083
"YFL034W"	-0.237	-0.572	-0.308	0.328	-0.097	0.199	0.083
"YKR080W"	0.365	0.411	1.133	0.723	1.038	0.143	0.083
"YCR050C"	-0.339	-0.398	-0.319	-0.428	-0.52	0.077	0.083
"YFL009W"	0.233	0.081	0.097	-0.003	-0.17	-0.05	0.082
"YGL009C"	0.219	0.451	-0.079	-0.26	-0.41	-0.295	0.082
"NORF 89"	0	0.01	-0.01	-0.025	0.18	0.043	0.082
"YLR116W"	0.261	-0.015	-0.403	-0.168	-0.208	-0.165	0.08
"YCL007C"	0.163	0.478	0.242	0.05	0.099	-0.072	0.08
"YER168C"	0.363	0.131	0.215	-0.29	-0.421	-0.08	0.079
"YDR393W"	-0.014	0.162	0.399	-0.154	-0.326	0.32	0.079
"YIL153W"	-0.757	-0.389	-0.434	-0.368	-0.44	-0.254	0.079
"YIL064W"	0.257	0.214	0.189	-0.094	-0.408	0.094	0.078
"YLR416C"	-0.715	-0.691	-0.716	-0.229	-0.486	0.336	0.078
"YDL217C"	-0.079	-0.046	-0.182	-0.068	-0.033	-0.072	0.078
"YDR192C"	-0.355	0.052	-0.329	-0.552	-0.059	0.325	0.078
"YJR134C"	-0.096	-0.154	0.1	0.044	0.256	0.648	0.078
"YGL207W"	0.395	0.359	0.082	0.072	-0.022	0.034	0.077
"YDR108W"	-0.588	-0.799	-0.002	-0.255	-0.185	0.507	0.077
"E. COLI #40"	0.006	0.605	-0.139	0.155	-0.275	0.264	0.076
"YOR305W"	0.22	0.211	0.762	0.34	0.77	0.137	0.076
"YDL221W"	-0.487	1.716	-0.26	-0.321	-0.517	-0.434	0.076
"YOL052C"	0.445	0.151	0.326	-0.391	-0.638	0.621	0.076
"YBR148W"	-0.158	-0.16	-0.24	0.094	-0.178	0.084	0.075
"EMPTY"	-0.107	-0.032	-0.184	-0.268	-0.293	-0.578	0.075
"YHR173C"	0.07	0.153	0.046	0.073	0.062	-0.229	0.075
"YGR094W"	0.164	0.288	-0.104	-0.537	-0.236	-2.049	0.075
"YJL218W"	-0.404	-0.478	-0.477	-0.314	0.693	0.874	0.075
"YLL058W"	0.222	0.237	0.248	0.252	0.512	0.474	0.074
"YOR199W"	-0.17	-0.23	-0.335	0.334	-0.216	-0.053	0.073
"YJR055W"	-0.15	-0.464	0.004	-0.091	-0.098	0.02	0.071
"YDR401W"	-0.307	-0.176	-0.16	-0.266	-0.364	-0.623	0.071
"YOL076W"	0.157	0.015	-0.026	-0.057	-0.256	0.583	0.071
"YDL099W"	-0.024	0.929	-0.154	-0.279	-0.217	0.269	0.071
"YKL215C"	-0.268	-0.141	-0.711	-0.318	-0.17	-0.913	0.071
"YOR072W"	-0.057	-0.094	-0.218	0.097	-0.134	0.068	0.071
"YDR279W"	0.2	0.024	0.399	-0.215	-0.128	0.512	0.071
"YGR281W"	-0.046	0.07	-0.112	0.081	0.246	-0.029	0.071
"YAL062W"	0.354	0.408	-0.3	-0.072	0.251	-0.762	0.071
"YLR424W"	0.011	-0.126	0.43	0.183	0.488	0.811	0.071
"YDL044C"	-0.192	-0.289	-0.129	-0.064	0.01	0.24	0.07
"YBR098W"	-0.171	0.365	-0.016	-0.078	-0.534	-0.088	0.07
"YIL054W"	-0.271	-0.144	0.194	-0.035	0.146	0.022	0.069
"YDR166C"	-0.042	0.525	-0.134	0.137	-0.126	-0.067	0.069
"YJL062W"	0.254	0.303	0.412	0.464	0.468	0.323	0.069
"YKL179C"	-0.097	0.085	-0.132	0.028	0.241	0.463	0.069
"YOL103W"	0.131	0.245	0.208	0.365	0.578	0.044	0.069
"YDR100W"	-0.07	0.009	0.431	0.332	0.048	0.406	0.069
"YPR204W"	-0.056	0	-0.331	-0.141	-0.229	-0.55	0.068
"YIL002C"	0.003	-0.043	-0.199	0.028	-0.061	-0.545	0.068
"YER124C"	0.34	0.614	0.469	0.095	0.104	-0.095	0.067
"YOR013W"	-0.311	-0.057	-0.2	-0.144	-0.026	0.062	0.067
"YER054C"	-0.172	-0.018	-0.207	-0.29	-0.232	-0.398	0.067
"YKL096W-A"	0.18	0.443	0.783	1.035	0.969	0.393	0.067
"YGL013C"	0.25	0.356	-0.088	-0.352	-0.745	-0.25	0.067
"YOL135C"	-0.124	-0.07	-0.319	-0.344	-0.069	0.001	0.066
"YKL029C"	-0.156	0.003	0.708	-0.256	-0.127	0.529	0.065
"YNL170W"	-0.01	0.056	-0.201	-0.246	0.122	-0.207	0.065
"YCL065W"	0.01	-0.028	0.17	-0.051	0.062	0.095	0.065
"YHL050C"	0.274	0.33	-0.038	0.228	0.005	-0.294	0.064
"YDL002C"	-0.201	-0.129	0.173	0.237	0.228	1.002	0.064
"YNL039W"	0.154	-0.105	-0.373	-0.174	-0.199	-0.14	0.064
"YAR069C"	-0.029	0.483	-0.112	-0.13	-0.941	-0.17	0.064
"YPR011C"	-0.132	0.064	-0.228	-0.115	-0.046	-0.23	0.063
"YML103C"	0.053	0.106	-0.032	-0.302	-0.567	-0.515	0.063
"YGR099W"	-0.196	-0.271	-0.039	0.097	-0.011	0.089	0.063
"YKR040C"	-0.781	-0.355	-0.197	-0.16	-0.501	-0.108	0.062
"YJL169W"	-0.007	-0.044	0.164	0.126	-0.256	-0.048	0.062
"YDR409W"	0.088	0.278	-0.329	-0.331	-0.367	-0.421	0.062
"YPR164W"	0.084	0.153	-0.146	0.153	0.042	-0.321	0.062
"YDR207C"	0.135	0.126	0.246	-0.067	0.157	0.458	0.062
"YJL162C"	-0.351	-0.741	0.336	-0.242	-0.663	0.546	0.062
"YDR138W"	-0.184	-0.532	-0.038	-0.225	-0.693	0.262	0.061
"YGR262C"	0.128	-0.1	0.101	-0.142	0.322	-0.127	0.061
"YMR294W"	-0.299	-0.144	-0.373	-0.245	-0.192	0.395	0.061
"YDR538W"	-0.02	-0.202	0.363	0.083	-0.008	0.015	0.06
"YOR297C"	0.195	0.457	0.252	-0.003	0.234	0.482	0.06
"YBR301W"	-0.028	-0.063	0.096	-0.349	-0.171	0.259	0.06
"YLR426W"	0.138	0.122	-0.125	0.058	0.062	-0.01	0.06
"YBR174C"	-0.115	0.015	0.228	-0.074	0.221	-0.253	0.06
"YPL006W"	-0.068	0.006	-0.31	-0.137	-0.186	-0.467	0.059
"YBL065W"	0.065	0.915	-0.314	-0.366	-0.362	-0.521	0.059
"YDL228C"	0.118	0.512	0.046	0.171	0.099	-0.076	0.059
"YMR234W"	0.031	-0.089	0.372	0.237	-0.419	1.114	0.058
"YCR076C"	-0.584	-0.528	-0.005	-0.463	0.074	0.936	0.058
"YKL104C"	0.238	0.197	0.203	-0.357	-0.376	-0.606	0.058
"YDR348C"	-0.461	-0.275	0.177	-0.069	-0.225	0.516	0.058
"YDL141W"	0.2	0.262	0.492	-0.208	-0.009	0.295	0.057
"YML064C"	0.012	0.155	-0.104	-0.003	0.19	-0.145	0.057
"NORF 85"	0.058	0.074	0.252	0.113	0.46	0.661	0.057
"POLY DA"	0.203	0.398	0.326	0.377	-0.539	-0.156	0.057
"YDR419W"	0.078	0.035	-0.008	-0.144	0.103	0.21	0.056
"YNL309W"	-0.142	-0.287	-0.224	-0.105	-0.658	0.41	0.056
"YNL298W"	-0.141	-0.123	0.03	-0.222	-0.415	0.547	0.056
"YIL032C"	-0.367	-0.356	-0.446	-0.197	-0.331	-0.118	0.056
"YMR102C"	0.059	0.179	-0.094	0.033	0.047	0.206	0.056
"YBL104C"	0.044	0.361	-0.103	-0.433	-0.134	-0.686	0.055
"YPR182W"	-0.383	-0.492	-0.552	-0.246	-0.2	-0.248	0.055
"YDL137W"	0.385	0.36	0.352	0.479	0.917	0.579	0.055
"YFR036W"	-0.277	-0.374	-0.361	-0.251	-0.3	-0.19	0.055
"YDR253C"	0.063	0.063	-0.082	-0.059	-0.541	0.367	0.054
"YPR065W"	0.149	0.143	-0.234	-0.042	-0.168	-0.332	0.054
"YHR219W"	0.135	-0.003	-0.294	-0.073	-0.186	-0.668	0.053
"YDR081C"	0.237	0.195	0.105	-0.371	0.031	0.327	0.053
"YMR276W"	-1.303	-0.258	0.106	-0.63	-0.856	0.727	0.053
"YLR288C"	-0.147	-0.468	0.123	0.007	-0.022	0.35	0.053
"YGR036C"	0.058	0.223	0.374	-0.047	-0.059	0.623	0.052
"YPL130W"	-0.433	-1.044	-1.028	-0.466	-1.067	0.729	0.052
"YPL084W"	0.022	-0.098	-0.14	0.161	-0.185	0.769	0.051
"YPL136W"	0.032	0.133	-0.89	-0.282	-0.464	-0.028	0.051
"YGR039W"	-0.028	-0.019	0.059	0.004	-0.162	0.179	0.051
"YKR044W"	0.118	0.126	0.329	-0.106	0.016	0.213	0.051
"YHL018W"	-0.109	-0.004	-0.188	-0.166	-0.192	-0.604	0.05
"YDL203C"	0.113	1.265	-0.286	-0.169	-0.494	-0.454	0.05
"YOL009C"	-0.515	-0.271	-0.458	-0.181	-0.198	0.382	0.05
"YHR191C"	-0.091	-0.139	-0.174	-0.444	-0.386	-0.347	0.049
"YKL092C"	-0.015	0.182	-0.101	0.039	-0.211	-0.027	0.049
"YPL225W"	0.118	0.111	0.196	0.25	0.396	0.438	0.049
"YGR210C"	0.424	0.236	0.195	0.107	0.017	-0.155	0.049
"YOR126C"	-0.269	-0.577	-0.239	-0.293	-0.521	0.196	0.049
"YPR121W"	0.09	0.015	0.284	0.06	-0.085	0.041	0.048
"YPL009C"	-0.114	-0.006	0.064	-0.368	-0.012	-0.341	0.048
"YLR274W"	0.028	0.194	0.006	0.145	0.054	0.425	0.048
"YGL074C"	-0.209	-0.416	-0.788	-0.198	-0.105	0.211	0.047
"YDR431W"	-0.015	0.177	-0.214	0.016	-0.601	-0.299	0.047
"YDL172C"	-0.009	0.297	-0.041	0.055	-0.054	0.372	0.047
"YLR195C"	0.248	0.444	0.697	0.429	0.277	0.406	0.047
"YBR229C"	0.159	0.185	0.305	0.325	0.392	-0.265	0.047
"YGR292W"	-0.015	0.18	-0.167	-0.046	0.053	-0.336	0.047
"YBL008W"	-0.013	0.039	0.022	-0.002	0.025	-0.215	0.047
"YGL011C"	0.183	0.402	0.256	0.294	0.13	1.035	0.045
"YOR200W"	-0.033	-0.429	0.018	0.214	0.037	0.499	0.045
"YJR090C"	-0.176	-0.431	-0.513	-0.403	-0.424	-0.378	0.044
"YNL323W"	0.026	0.045	-0.089	0.249	0.192	0.196	0.044
"YDL160C"	-0.097	-0.201	0.024	-0.27	-0.415	0.193	0.044
"YGR121C"	-0.233	-0.165	-0.066	-0.44	-0.392	-0.172	0.043
"YDR320C"	-0.582	-0.766	-0.143	-0.317	-0.559	0.718	0.043
"YBL091C"	0.45	0.277	0.628	0.274	-0.435	0.645	0.042
"YPL283C"	-0.179	0.152	-0.234	0.016	-0.421	-0.321	0.042
"YNL169C"	0.185	0.396	0.208	0.15	0.172	0.317	0.042
"YLR077W"	0.027	0.006	-0.067	-0.026	0.216	0.094	0.041
"YLR228C"	0.154	0.055	-0.191	-0.297	-0.497	0.472	0.041
"YHR075C"	0.196	0.324	0.061	0.263	0.238	-0.238	0.041
"NORF 16"	-0.073	0.33	0.354	0.58	0.758	0.355	0.041
"YFL033C"	-0.255	0.061	-0.326	0.092	-0.091	-0.525	0.04
"YNL290W"	0.11	0.167	0.41	0.112	0.258	0.128	0.04
"YMR069W"	-0.391	-0.833	-1.075	-0.515	-0.268	0.326	0.04
"YGR179C"	-0.671	0.592	0.279	0.33	-0.036	1.061	0.039
"YLR184W"	-0.619	-0.512	0	-0.59	-1.471	0.379	0.039
"YOR282W"	-0.385	-0.452	-0.38	-0.458	-0.156	-0.345	0.038
"YBR066C"	-0.11	0.399	-0.082	0.218	-0.087	0.508	0.038
"YCL047C"	-0.192	-0.181	0.309	-0.002	0.01	0.745	0.038
"YNL329C"	0.01	0.179	-0.021	-0.149	-0.116	-0.238	0.038
"YDL146W"	-0.177	0.615	0.066	0.263	0.189	-0.114	0.037
"YCL005W"	-0.028	0.224	0.5	-0.136	-0.158	0.076	0.037
"YJR010W"	0.112	0.074	0.077	-0.191	-0.327	-0.285	0.037
"YGR074W"	0.027	0.058	0.01	-0.28	0.008	-0.196	0.037
"YDL227C"	-0.019	0.958	-0.055	-0.074	-0.222	-0.249	0.037
"YPL064C"	-0.024	-0.056	0.066	0.233	0.171	0.283	0.036
"YPL085W"	0.04	0.263	-0.018	0.075	-0.325	-0.272	0.036
"YJL041W"	0.355	0.065	0.244	-0.166	-0.102	-0.157	0.035
"YMR061W"	-0.099	-0.006	-0.118	0.077	-0.004	-0.625	0.035
"YER190W"	0.084	0.144	-0.093	0	-0.131	-0.696	0.035
